"","tray","analysis","letter","name","value"
"81","Tray1","Fe-II","G","9","COMPASS_Dec2021_051"
"82","Tray1","Fe-II","G","10","COMPASS_Dec2021_059"
"83","Tray1","Fe-II","G","11","COMPASS_Dec2021_064"
"84","Tray1","Fe-II","G","12","rep-65"
"85","Tray1","Fe-II","H","1","0.5 M HCl"
"86","Tray1","Fe-II","H","2","COMPASS_Dec2021_008"
"87","Tray1","Fe-II","H","3","COMPASS_Dec2021_014"
"88","Tray1","Fe-II","H","4","blank"
"89","Tray1","Fe-II","H","5","COMPASS_Dec2021_028"
"90","Tray1","Fe-II","H","6","COMPASS_Dec2021_033"
"91","Tray1","Fe-II","H","7","NULL"
"92","Tray1","Fe-II","H","8","COMPASS_Dec2021_046"
"93","Tray1","Fe-II","H","9","blank"
"94","Tray1","Fe-II","H","10","COMPASS_Dec2021_060"
"95","Tray1","Fe-II","H","11","COMPASS_Dec2021_065"
"96","Tray1","Fe-II","H","12","blank"
"97","Tray1","Fe-II",,"1","NULL"
"98","Tray1","Fe-II",,"2","NULL"
"99","Tray1","Fe-II",,"3","NULL"
"100","Tray1","Fe-II",,"4","NULL"
"101","Tray1","Fe-II",,"5","NULL"
"102","Tray1","Fe-II",,"6","NULL"
"103","Tray1","Fe-II",,"7","NULL"
"104","Tray1","Fe-II",,"8","NULL"
"105","Tray1","Fe-II",,"9","NULL"
"106","Tray1","Fe-II",,"10","NULL"
"107","Tray1","Fe-II",,"11","NULL"
"108","Tray1","Fe-II",,"12","NULL"
"109","Tray1","Fe-II",,"1","NULL"
"110","Tray1","Fe-II",,"2","NULL"
"111","Tray1","Fe-II",,"3","NULL"
"112","Tray1","Fe-II",,"4","NULL"
"113","Tray1","Fe-II",,"5","NULL"
"114","Tray1","Fe-II",,"6","NULL"
"115","Tray1","Fe-II",,"7","NULL"
"116","Tray1","Fe-II",,"8","NULL"
"117","Tray1","Fe-II",,"9","NULL"
"118","Tray1","Fe-II",,"10","NULL"
"119","Tray1","Fe-II",,"11","NULL"
"120","Tray1","Fe-II",,"12","NULL"
"121","Tray1","Fe-II",,"1","NULL"
"122","Tray1","Fe-II",,"2","NULL"
"123","Tray1","Fe-II",,"3","NULL"
"124","Tray1","Fe-II",,"4","NULL"
"125","Tray1","Fe-II",,"5","NULL"
"126","Tray1","Fe-II",,"6","NULL"
"127","Tray1","Fe-II",,"7","NULL"
"128","Tray1","Fe-II",,"8","NULL"
"129","Tray1","Fe-II",,"9","NULL"
"130","Tray1","Fe-II",,"10","NULL"
"131","Tray1","Fe-II",,"11","NULL"
"132","Tray1","Fe-II",,"12","NULL"
"133","Tray1","Fe-II","Tray 2 (Fe-II): 20 uL sample + 20 uL water + 100 uL ferrozine","1","NULL"
"134","Tray1","Fe-II","Tray 2 (Fe-II): 20 uL sample + 20 uL water + 100 uL ferrozine","2","NULL"
"135","Tray1","Fe-II","Tray 2 (Fe-II): 20 uL sample + 20 uL water + 100 uL ferrozine","3","NULL"
"136","Tray1","Fe-II","Tray 2 (Fe-II): 20 uL sample + 20 uL water + 100 uL ferrozine","4","NULL"
"137","Tray1","Fe-II","Tray 2 (Fe-II): 20 uL sample + 20 uL water + 100 uL ferrozine","5","NULL"
"138","Tray1","Fe-II","Tray 2 (Fe-II): 20 uL sample + 20 uL water + 100 uL ferrozine","6","NULL"
"139","Tray1","Fe-II","Tray 2 (Fe-II): 20 uL sample + 20 uL water + 100 uL ferrozine","7","NULL"
"140","Tray1","Fe-II","Tray 2 (Fe-II): 20 uL sample + 20 uL water + 100 uL ferrozine","8","NULL"
"141","Tray1","Fe-II","Tray 2 (Fe-II): 20 uL sample + 20 uL water + 100 uL ferrozine","9","NULL"
"142","Tray1","Fe-II","Tray 2 (Fe-II): 20 uL sample + 20 uL water + 100 uL ferrozine","10","NULL"
"143","Tray1","Fe-II","Tray 2 (Fe-II): 20 uL sample + 20 uL water + 100 uL ferrozine","11","NULL"
"144","Tray1","Fe-II","Tray 2 (Fe-II): 20 uL sample + 20 uL water + 100 uL ferrozine","12","NULL"
"145","Tray1","Fe-II","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","1","NULL"
"146","Tray1","Fe-II","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","2","NULL"
"147","Tray1","Fe-II","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","3","NULL"
"148","Tray1","Fe-II","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","4","NULL"
"149","Tray1","Fe-II","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","5","NULL"
"150","Tray1","Fe-II","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","6","NULL"
"151","Tray1","Fe-II","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","7","NULL"
"152","Tray1","Fe-II","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","8","NULL"
"153","Tray1","Fe-II","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","9","NULL"
"154","Tray1","Fe-II","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","10","NULL"
"155","Tray1","Fe-II","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","11","NULL"
"156","Tray1","Fe-II","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","12","NULL"
"157","Tray1","Fe-II",,"1","NULL"
"158","Tray1","Fe-II",,"2","NULL"
"159","Tray1","Fe-II",,"3","NULL"
"160","Tray1","Fe-II",,"4","NULL"
"161","Tray1","Fe-II",,"5","NULL"
"162","Tray1","Fe-II",,"6","NULL"
"163","Tray1","Fe-II",,"7","NULL"
"164","Tray1","Fe-II",,"8","NULL"
"165","Tray1","Fe-II",,"9","NULL"
"166","Tray1","Fe-II",,"10","NULL"
"167","Tray1","Fe-II",,"11","NULL"
"168","Tray1","Fe-II",,"12","NULL"
"169","Tray2","Fe-II",,"1","1"
"170","Tray2","Fe-II",,"2","2"
"171","Tray2","Fe-II",,"3","3"
"172","Tray2","Fe-II",,"4","4"
"173","Tray2","Fe-II",,"5","5"
"174","Tray2","Fe-II",,"6","6"
"175","Tray2","Fe-II",,"7","7"
"176","Tray2","Fe-II",,"8","8"
"177","Tray2","Fe-II",,"9","9"
"178","Tray2","Fe-II",,"10","10"
"179","Tray2","Fe-II",,"11","11"
"180","Tray2","Fe-II",,"12","12"
"181","Tray2","Fe-II","A","1","FAS standard - volume 20 uL - serial dilution 2x"
"182","Tray2","Fe-II","A","2","COMPASS_Dec2021_071"
"183","Tray2","Fe-II","A","3","COMPASS_Dec2021_079"
"184","Tray2","Fe-II","A","4","COMPASS_Dec2021_086"
"185","Tray2","Fe-II","A","5","NULL"
"186","Tray2","Fe-II","A","6","NULL"
"187","Tray2","Fe-II","A","7","NULL"
"188","Tray2","Fe-II","A","8","NULL"
"189","Tray2","Fe-II","A","9","NULL"
"190","Tray2","Fe-II","A","10","NULL"
"191","Tray2","Fe-II","A","11","NULL"
"192","Tray2","Fe-II","A","12","NULL"
"193","Tray2","Fe-II","B","1","NULL"
"194","Tray2","Fe-II","B","2","COMPASS_Dec2021_072"
"195","Tray2","Fe-II","B","3","COMPASS_Dec2021_080"
"196","Tray2","Fe-II","B","4","COMPASS_Dec2021_087"
"197","Tray2","Fe-II","B","5","NULL"
"198","Tray2","Fe-II","B","6","NULL"
"199","Tray2","Fe-II","B","7","NULL"
"200","Tray2","Fe-II","B","8","NULL"
"201","Tray2","Fe-II","B","9","NULL"
"202","Tray2","Fe-II","B","10","NULL"
"203","Tray2","Fe-II","B","11","NULL"
"204","Tray2","Fe-II","B","12","NULL"
"205","Tray2","Fe-II","C","1","NULL"
"206","Tray2","Fe-II","C","2","COMPASS_Dec2021_073"
"207","Tray2","Fe-II","C","3","rep-75"
"208","Tray2","Fe-II","C","4","rep-85"
"209","Tray2","Fe-II","C","5","NULL"
"210","Tray2","Fe-II","C","6","NULL"
"211","Tray2","Fe-II","C","7","NULL"
"212","Tray2","Fe-II","C","8","NULL"
"213","Tray2","Fe-II","C","9","NULL"
"214","Tray2","Fe-II","C","10","NULL"
"215","Tray2","Fe-II","C","11","NULL"
"216","Tray2","Fe-II","C","12","NULL"
"217","Tray2","Fe-II","D","1","NULL"
"218","Tray2","Fe-II","D","2","COMPASS_Dec2021_074"
"219","Tray2","Fe-II","D","3","COMPASS_Dec2021_081"
"220","Tray2","Fe-II","D","4","blank"
"221","Tray2","Fe-II","D","5","NULL"
"222","Tray2","Fe-II","D","6","NULL"
"223","Tray2","Fe-II","D","7","NULL"
"224","Tray2","Fe-II","D","8","NULL"
"225","Tray2","Fe-II","D","9","NULL"
"226","Tray2","Fe-II","D","10","NULL"
"227","Tray2","Fe-II","D","11","NULL"
"228","Tray2","Fe-II","D","12","NULL"
"229","Tray2","Fe-II","E","1","NULL"
"230","Tray2","Fe-II","E","2","COMPASS_Dec2021_075"
"231","Tray2","Fe-II","E","3","COMPASS_Dec2021_082"
"232","Tray2","Fe-II","E","4","NULL"
"233","Tray2","Fe-II","E","5","NULL"
"234","Tray2","Fe-II","E","6","NULL"
"235","Tray2","Fe-II","E","7","NULL"
"236","Tray2","Fe-II","E","8","NULL"
"237","Tray2","Fe-II","E","9","NULL"
"238","Tray2","Fe-II","E","10","NULL"
"239","Tray2","Fe-II","E","11","NULL"
"240","Tray2","Fe-II","E","12","NULL"
"241","Tray2","Fe-II","F","1","NULL"
"242","Tray2","Fe-II","F","2","COMPASS_Dec2021_076"
"243","Tray2","Fe-II","F","3","COMPASS_Dec2021_083"
"244","Tray2","Fe-II","F","4","NULL"
"245","Tray2","Fe-II","F","5","NULL"
"246","Tray2","Fe-II","F","6","NULL"
"247","Tray2","Fe-II","F","7","NULL"
"248","Tray2","Fe-II","F","8","NULL"
"249","Tray2","Fe-II","F","9","NULL"
"250","Tray2","Fe-II","F","10","NULL"
"251","Tray2","Fe-II","F","11","NULL"
"252","Tray2","Fe-II","F","12","NULL"
"253","Tray2","Fe-II","G","1","NULL"
"254","Tray2","Fe-II","G","2","COMPASS_Dec2021_077"
"255","Tray2","Fe-II","G","3","COMPASS_Dec2021_084"
"256","Tray2","Fe-II","G","4","NULL"
"257","Tray2","Fe-II","G","5","NULL"
"258","Tray2","Fe-II","G","6","NULL"
"259","Tray2","Fe-II","G","7","NULL"
"260","Tray2","Fe-II","G","8","NULL"
"261","Tray2","Fe-II","G","9","NULL"
"262","Tray2","Fe-II","G","10","NULL"
"263","Tray2","Fe-II","G","11","NULL"
"264","Tray2","Fe-II","G","12","NULL"
"265","Tray2","Fe-II","H","1","0.5 M HCl"
"266","Tray2","Fe-II","H","2","COMPASS_Dec2021_078"
"267","Tray2","Fe-II","H","3","COMPASS_Dec2021_085"
"268","Tray2","Fe-II","H","4","NULL"
"269","Tray2","Fe-II","H","5","NULL"
"270","Tray2","Fe-II","H","6","NULL"
"271","Tray2","Fe-II","H","7","NULL"
"272","Tray2","Fe-II","H","8","NULL"
"273","Tray2","Fe-II","H","9","NULL"
"274","Tray2","Fe-II","H","10","NULL"
"275","Tray2","Fe-II","H","11","NULL"
"276","Tray2","Fe-II","H","12","NULL"
"277","Tray2","Fe-II",,"1","NULL"
"278","Tray2","Fe-II",,"2","NULL"
"279","Tray2","Fe-II",,"3","NULL"
"280","Tray2","Fe-II",,"4","NULL"
"281","Tray2","Fe-II",,"5","NULL"
"282","Tray2","Fe-II",,"6","NULL"
"283","Tray2","Fe-II",,"7","NULL"
"284","Tray2","Fe-II",,"8","NULL"
"285","Tray2","Fe-II",,"9","NULL"
"286","Tray2","Fe-II",,"10","NULL"
"287","Tray2","Fe-II",,"11","NULL"
"288","Tray2","Fe-II",,"12","NULL"
"289","Tray2","Fe-II",,"1","NULL"
"290","Tray2","Fe-II",,"2","NULL"
"291","Tray2","Fe-II",,"3","NULL"
"292","Tray2","Fe-II",,"4","NULL"
"293","Tray2","Fe-II",,"5","NULL"
"294","Tray2","Fe-II",,"6","NULL"
"295","Tray2","Fe-II",,"7","NULL"
"296","Tray2","Fe-II",,"8","NULL"
"297","Tray2","Fe-II",,"9","NULL"
"298","Tray2","Fe-II",,"10","NULL"
"299","Tray2","Fe-II",,"11","NULL"
"300","Tray2","Fe-II",,"12","NULL"
"301","Tray2","Fe-II","Tray 3 (Total Fe): 10 uL sample + 10 uL HCl + 20 uL ascorbic acid + 100 uL ferrozine","1","NULL"
"302","Tray2","Fe-II","Tray 3 (Total Fe): 10 uL sample + 10 uL HCl + 20 uL ascorbic acid + 100 uL ferrozine","2","NULL"
"303","Tray2","Fe-II","Tray 3 (Total Fe): 10 uL sample + 10 uL HCl + 20 uL ascorbic acid + 100 uL ferrozine","3","NULL"
"304","Tray2","Fe-II","Tray 3 (Total Fe): 10 uL sample + 10 uL HCl + 20 uL ascorbic acid + 100 uL ferrozine","4","NULL"
"305","Tray2","Fe-II","Tray 3 (Total Fe): 10 uL sample + 10 uL HCl + 20 uL ascorbic acid + 100 uL ferrozine","5","NULL"
"306","Tray2","Fe-II","Tray 3 (Total Fe): 10 uL sample + 10 uL HCl + 20 uL ascorbic acid + 100 uL ferrozine","6","NULL"
"307","Tray2","Fe-II","Tray 3 (Total Fe): 10 uL sample + 10 uL HCl + 20 uL ascorbic acid + 100 uL ferrozine","7","NULL"
"308","Tray2","Fe-II","Tray 3 (Total Fe): 10 uL sample + 10 uL HCl + 20 uL ascorbic acid + 100 uL ferrozine","8","NULL"
"309","Tray2","Fe-II","Tray 3 (Total Fe): 10 uL sample + 10 uL HCl + 20 uL ascorbic acid + 100 uL ferrozine","9","NULL"
"310","Tray2","Fe-II","Tray 3 (Total Fe): 10 uL sample + 10 uL HCl + 20 uL ascorbic acid + 100 uL ferrozine","10","NULL"
"311","Tray2","Fe-II","Tray 3 (Total Fe): 10 uL sample + 10 uL HCl + 20 uL ascorbic acid + 100 uL ferrozine","11","NULL"
"312","Tray2","Fe-II","Tray 3 (Total Fe): 10 uL sample + 10 uL HCl + 20 uL ascorbic acid + 100 uL ferrozine","12","NULL"
"313","Tray2","Fe-II","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","1","NULL"
"314","Tray2","Fe-II","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","2","NULL"
"315","Tray2","Fe-II","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","3","NULL"
"316","Tray2","Fe-II","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","4","NULL"
"317","Tray2","Fe-II","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","5","NULL"
"318","Tray2","Fe-II","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","6","NULL"
"319","Tray2","Fe-II","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","7","NULL"
"320","Tray2","Fe-II","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","8","NULL"
"321","Tray2","Fe-II","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","9","NULL"
"322","Tray2","Fe-II","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","10","NULL"
"323","Tray2","Fe-II","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","11","NULL"
"324","Tray2","Fe-II","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","12","NULL"
"325","Tray2","Fe-II",,"1","NULL"
"326","Tray2","Fe-II",,"2","NULL"
"327","Tray2","Fe-II",,"3","NULL"
"328","Tray2","Fe-II",,"4","NULL"
"329","Tray2","Fe-II",,"5","NULL"
"330","Tray2","Fe-II",,"6","NULL"
"331","Tray2","Fe-II",,"7","NULL"
"332","Tray2","Fe-II",,"8","NULL"
"333","Tray2","Fe-II",,"9","NULL"
"334","Tray2","Fe-II",,"10","NULL"
"335","Tray2","Fe-II",,"11","NULL"
"336","Tray2","Fe-II",,"12","NULL"
"337","Tray3","total-Fe",,"1","1"
"338","Tray3","total-Fe",,"2","2"
"339","Tray3","total-Fe",,"3","3"
"340","Tray3","total-Fe",,"4","4"
"341","Tray3","total-Fe",,"5","5"
"342","Tray3","total-Fe",,"6","6"
"343","Tray3","total-Fe",,"7","7"
"344","Tray3","total-Fe",,"8","8"
"345","Tray3","total-Fe",,"9","9"
"346","Tray3","total-Fe",,"10","10"
"347","Tray3","total-Fe",,"11","11"
"348","Tray3","total-Fe",,"12","12"
"349","Tray3","total-Fe","A","1","FAS standard - volume 20 uL - serial dilution 2x"
"350","Tray3","total-Fe","A","2","COMPASS_Dec2021_001"
"351","Tray3","total-Fe","A","3","COMPASS_Dec2021_009"
"352","Tray3","total-Fe","A","4","COMPASS_Dec2021_015"
"353","Tray3","total-Fe","A","5","COMPASS_Dec2021_021"
"354","Tray3","total-Fe","A","6","COMPASS_Dec2021_029"
"355","Tray3","total-Fe","A","7","COMPASS_Dec2021_034"
"356","Tray3","total-Fe","A","8","rep-35"
"357","Tray3","total-Fe","A","9","COMPASS_Dec2021_047"
"358","Tray3","total-Fe","A","10","COMPASS_Dec2021_052"
"359","Tray3","total-Fe","A","11","NULL"
"360","Tray3","total-Fe","A","12","COMPASS_Dec2021_066"
"361","Tray3","total-Fe","B","1","NULL"
"362","Tray3","total-Fe","B","2","COMPASS_Dec2021_002"
"363","Tray3","total-Fe","B","3","COMPASS_Dec2021_010"
"364","Tray3","total-Fe","B","4","COMPASS_Dec2021_016"
"365","Tray3","total-Fe","B","5","COMPASS_Dec2021_022"
"366","Tray3","total-Fe","B","6","COMPASS_Dec2021_030"
"367","Tray3","total-Fe","B","7","COMPASS_Dec2021_035"
"368","Tray3","total-Fe","B","8","blank"
"369","Tray3","total-Fe","B","9","COMPASS_Dec2021_048"
"370","Tray3","total-Fe","B","10","COMPASS_Dec2021_053"
"371","Tray3","total-Fe","B","11","rep-55"
"372","Tray3","total-Fe","B","12","COMPASS_Dec2021_067"
"373","Tray3","total-Fe","C","1","NULL"
"374","Tray3","total-Fe","C","2","COMPASS_Dec2021_003"
"375","Tray3","total-Fe","C","3","rep-5"
"376","Tray3","total-Fe","C","4","COMPASS_Dec2021_017"
"377","Tray3","total-Fe","C","5","COMPASS_Dec2021_023"
"378","Tray3","total-Fe","C","6","rep-25"
"379","Tray3","total-Fe","C","7","COMPASS_Dec2021_036"
"380","Tray3","total-Fe","C","8","COMPASS_Dec2021_041"
"381","Tray3","total-Fe","C","9","COMPASS_Dec2021_049"
"382","Tray3","total-Fe","C","10","COMPASS_Dec2021_054"
"383","Tray3","total-Fe","C","11","blank"
"384","Tray3","total-Fe","C","12","COMPASS_Dec2021_068"
"385","Tray3","total-Fe","D","1","NULL"
"386","Tray3","total-Fe","D","2","COMPASS_Dec2021_004"
"387","Tray3","total-Fe","D","3","blank"
"388","Tray3","total-Fe","D","4","COMPASS_Dec2021_018"
"389","Tray3","total-Fe","D","5","COMPASS_Dec2021_024"
"390","Tray3","total-Fe","D","6","blank"
"391","Tray3","total-Fe","D","7","COMPASS_Dec2021_037"
"392","Tray3","total-Fe","D","8","COMPASS_Dec2021_042"
"393","Tray3","total-Fe","D","9","COMPASS_Dec2021_050"
"394","Tray3","total-Fe","D","10","COMPASS_Dec2021_055"
"395","Tray3","total-Fe","D","11","COMPASS_Dec2021_061"
"396","Tray3","total-Fe","D","12","COMPASS_Dec2021_069"
"397","Tray3","total-Fe","E","1","NULL"
"398","Tray3","total-Fe","E","2","COMPASS_Dec2021_005"
"399","Tray3","total-Fe","E","3","COMPASS_Dec2021_011"
"400","Tray3","total-Fe","E","4","COMPASS_Dec2021_019"
"401","Tray3","total-Fe","E","5","COMPASS_Dec2021_025"
"402","Tray3","total-Fe","E","6","NULL"
"403","Tray3","total-Fe","E","7","COMPASS_Dec2021_038"
"404","Tray3","total-Fe","E","8","COMPASS_Dec2021_043"
"405","Tray3","total-Fe","E","9","NULL"
"406","Tray3","total-Fe","E","10","COMPASS_Dec2021_057"
"407","Tray3","total-Fe","E","11","COMPASS_Dec2021_062"
"408","Tray3","total-Fe","E","12","COMPASS_Dec2021_070"
"409","Tray3","total-Fe","F","1","NULL"
"410","Tray3","total-Fe","F","2","COMPASS_Dec2021_006"
"411","Tray3","total-Fe","F","3","COMPASS_Dec2021_012"
"412","Tray3","total-Fe","F","4","COMPASS_Dec2021_020"
"413","Tray3","total-Fe","F","5","COMPASS_Dec2021_026"
"414","Tray3","total-Fe","F","6","COMPASS_Dec2021_031"
"415","Tray3","total-Fe","F","7","COMPASS_Dec2021_039"
"416","Tray3","total-Fe","F","8","COMPASS_Dec2021_044"
"417","Tray3","total-Fe","F","9","rep-45"
"418","Tray3","total-Fe","F","10","COMPASS_Dec2021_058"
"419","Tray3","total-Fe","F","11","COMPASS_Dec2021_063"
"420","Tray3","total-Fe","F","12","NULL"
"421","Tray3","total-Fe","G","1","NULL"
"422","Tray3","total-Fe","G","2","COMPASS_Dec2021_007"
"423","Tray3","total-Fe","G","3","COMPASS_Dec2021_013"
"424","Tray3","total-Fe","G","4","rep-15"
"425","Tray3","total-Fe","G","5","COMPASS_Dec2021_027"
"426","Tray3","total-Fe","G","6","COMPASS_Dec2021_032"
"427","Tray3","total-Fe","G","7","COMPASS_Dec2021_040"
"428","Tray3","total-Fe","G","8","COMPASS_Dec2021_045"
"429","Tray3","total-Fe","G","9","blank"
"430","Tray3","total-Fe","G","10","COMPASS_Dec2021_059"
"431","Tray3","total-Fe","G","11","COMPASS_Dec2021_064"
"432","Tray3","total-Fe","G","12","rep-65"
"433","Tray3","total-Fe","H","1","0.5 M HCl"
"434","Tray3","total-Fe","H","2","COMPASS_Dec2021_008"
"435","Tray3","total-Fe","H","3","COMPASS_Dec2021_014"
"436","Tray3","total-Fe","H","4","blank"
"437","Tray3","total-Fe","H","5","COMPASS_Dec2021_028"
"438","Tray3","total-Fe","H","6","COMPASS_Dec2021_033"
"439","Tray3","total-Fe","H","7","NULL"
"440","Tray3","total-Fe","H","8","COMPASS_Dec2021_046"
"441","Tray3","total-Fe","H","9","COMPASS_Dec2021_051"
"442","Tray3","total-Fe","H","10","COMPASS_Dec2021_060"
"443","Tray3","total-Fe","H","11","COMPASS_Dec2021_065"
"444","Tray3","total-Fe","H","12","blank"
"445","Tray3","total-Fe",,"1","NULL"
"446","Tray3","total-Fe",,"2","NULL"
"447","Tray3","total-Fe",,"3","NULL"
"448","Tray3","total-Fe",,"4","NULL"
"449","Tray3","total-Fe",,"5","NULL"
"450","Tray3","total-Fe",,"6","NULL"
"451","Tray3","total-Fe",,"7","NULL"
"452","Tray3","total-Fe",,"8","NULL"
"453","Tray3","total-Fe",,"9","NULL"
"454","Tray3","total-Fe",,"10","NULL"
"455","Tray3","total-Fe",,"11","NULL"
"456","Tray3","total-Fe",,"12","NULL"
"457","Tray3","total-Fe",,"1","NULL"
"458","Tray3","total-Fe",,"2","NULL"
"459","Tray3","total-Fe",,"3","NULL"
"460","Tray3","total-Fe",,"4","NULL"
"461","Tray3","total-Fe",,"5","NULL"
"462","Tray3","total-Fe",,"6","NULL"
