"","analysis_ID","ion","ppm","date_run","sample_label","dilution_factor","ppm_dil_corrected","max","HIGH"
"78","DOC_CMPS_KFP_0333","Sodium",65.85,2022-12-16,"COMPASS_May22_185",2.756278,181.5,39.91,TRUE
"79","DOC_CMPS_KFP_0334","Sodium",82.23,2022-12-16,"COMPASS_May22_186",2.0332,167.19,39.91,TRUE
"80","DOC_CMPS_KFP_0334","Chloride",121.28,2022-12-16,"COMPASS_May22_186",2.0332,246.59,101.79,TRUE
"81","DOC_CMPS_KFP_0335","Sodium",71.01,2022-12-16,"COMPASS_May22_187",2.086664,148.17,39.91,TRUE
"82","DOC_CMPS_KFP_0336","Sodium",709.69,2022-12-16,"COMPASS_May22_188",1,709.69,39.91,TRUE
"83","DOC_CMPS_KFP_0336","Magnesium",73.72,2022-12-16,"COMPASS_May22_188",1,73.72,49.87,TRUE
"84","DOC_CMPS_KFP_0336","Sulfate",204.69,2022-12-16,"COMPASS_May22_188",1,204.69,99.46,TRUE
"85","DOC_CMPS_KFP_0337","Sodium",588.37,2022-12-16,"COMPASS_May22_189",1,588.37,39.91,TRUE
"86","DOC_CMPS_KFP_0337","Sulfate",141.05,2022-12-16,"COMPASS_May22_189",1,141.05,99.46,TRUE
"87","DOC_CMPS_KFP_0338","Sodium",479.76,2022-12-16,"COMPASS_May22_190",1.159882,556.46,39.91,TRUE
"88","DOC_CMPS_KFP_0338","Sulfate",113.63,2022-12-16,"COMPASS_May22_190",1.159882,131.8,99.46,TRUE
"89","DOC_CMPS_KFP_0339","Sodium",173.18,2022-12-16,"COMPASS_May22_191",1,173.18,39.91,TRUE
"90","DOC_CMPS_KFP_0339","Chloride",261.52,2022-12-16,"COMPASS_May22_191",1,261.52,101.79,TRUE
"91","DOC_CMPS_KFP_0340","Sodium",511.45,2022-12-16,"COMPASS_May22_192",1,511.45,39.91,TRUE
"92","DOC_CMPS_KFP_0340","Sulfate",121.67,2022-12-16,"COMPASS_May22_192",1,121.67,99.46,TRUE
"93","DOC_CMPS_KFP_0344","Sodium",155.4,2022-12-16,"COMPASS_May22_193",1.482672,230.41,39.91,TRUE
"94","DOC_CMPS_KFP_0344","Chloride",246.68,2022-12-16,"COMPASS_May22_193",1.482672,365.75,101.79,TRUE
"95","DOC_CMPS_KFP_0345","Sodium",367.06,2022-12-16,"COMPASS_May22_194",1,367.06,39.91,TRUE
"96","DOC_CMPS_KFP_0346","Sodium",514.56,2022-12-16,"COMPASS_May22_195",1,514.56,39.91,TRUE
"97","DOC_CMPS_KFP_0346","Sulfate",154.07,2022-12-16,"COMPASS_May22_195",1,154.07,99.46,TRUE
"98","DOC_CMPS_KFP_0347","Sodium",152.05,2022-12-16,"COMPASS_May22_196",1,152.05,39.91,TRUE
"99","DOC_CMPS_KFP_0347","Chloride",234.28,2022-12-16,"COMPASS_May22_196",1,234.28,101.79,TRUE
"100","DOC_CMPS_KFP_0348","Sodium",141.18,2022-12-16,"COMPASS_May22_197",1,141.18,39.91,TRUE
"101","DOC_CMPS_KFP_0348","Chloride",210.67,2022-12-16,"COMPASS_May22_197",1,210.67,101.79,TRUE
"102","DOC_CMPS_KFP_0349","Sodium",98.89,2022-12-16,"COMPASS_May22_198",1,98.89,39.91,TRUE
"103","DOC_CMPS_KFP_0349","Chloride",143.9,2022-12-16,"COMPASS_May22_198",1,143.9,101.79,TRUE
"104","DOC_CMPS_KFP_0350","Sodium",84.69,2022-12-16,"COMPASS_May22_199",1,84.69,39.91,TRUE
"105","DOC_CMPS_KFP_0350","Chloride",121.34,2022-12-16,"COMPASS_May22_199",1,121.34,101.79,TRUE
"106","DOC_CMPS_KFP_0351","Sodium",92.08,2022-12-16,"COMPASS_May22_200",1,92.08,39.91,TRUE
"107","DOC_CMPS_KFP_0351","Chloride",135.56,2022-12-16,"COMPASS_May22_200",1,135.56,101.79,TRUE
"108","DOC_CMPS_KFP_0352","Sodium",117.42,2022-12-16,"COMPASS_May22_201",1,117.42,39.91,TRUE
"109","DOC_CMPS_KFP_0352","Chloride",182.51,2022-12-16,"COMPASS_May22_201",1,182.51,101.79,TRUE
"110","DOC_CMPS_KFP_0353","Sodium",87.83,2022-12-16,"COMPASS_May22_202",1,87.83,39.91,TRUE
"111","DOC_CMPS_KFP_0353","Chloride",134.55,2022-12-16,"COMPASS_May22_202",1,134.55,101.79,TRUE
"112","DOC_CMPS_KFP_0354","Sodium",109.46,2022-12-16,"COMPASS_May22_203",1,109.46,39.91,TRUE
"113","DOC_CMPS_KFP_0354","Chloride",158.01,2022-12-16,"COMPASS_May22_203",1,158.01,101.79,TRUE
"114","DOC_CMPS_KFP_0355","Sodium",185.98,2022-12-16,"COMPASS_May22_204",1,185.98,39.91,TRUE
"115","DOC_CMPS_KFP_0355","Chloride",273.58,2022-12-16,"COMPASS_May22_204",1,273.58,101.79,TRUE
"116","DOC_CMPS_KFP_0356","Sodium",116.14,2022-12-16,"COMPASS_May22_206",1,116.14,39.91,TRUE
"117","DOC_CMPS_KFP_0356","Chloride",168.55,2022-12-16,"COMPASS_May22_206",1,168.55,101.79,TRUE
"118","DOC_CMPS_KFP_0357","Sodium",124.15,2022-12-16,"COMPASS_May22_207",1,124.15,39.91,TRUE
"119","DOC_CMPS_KFP_0357","Chloride",180.07,2022-12-16,"COMPASS_May22_207",1,180.07,101.79,TRUE
"120","DOC_CMPS_KFP_0358","Sodium",136.85,2022-12-16,"COMPASS_May22_208",1,136.85,39.91,TRUE
"121","DOC_CMPS_KFP_0358","Chloride",212.74,2022-12-16,"COMPASS_May22_208",1,212.74,101.79,TRUE
"122","DOC_CMPS_KFP_0359","Sodium",146.45,2022-12-16,"COMPASS_May22_209",1,146.45,39.91,TRUE
"123","DOC_CMPS_KFP_0359","Chloride",226.18,2022-12-16,"COMPASS_May22_209",1,226.18,101.79,TRUE
"124","DOC_CMPS_KFP_0360","Sodium",135.83,2022-12-16,"COMPASS_May22_210",1,135.83,39.91,TRUE
"125","DOC_CMPS_KFP_0360","Chloride",199.23,2022-12-16,"COMPASS_May22_210",1,199.23,101.79,TRUE
"126","DOC_CMPS_KFP_0361","Sodium",118.42,2022-12-16,"COMPASS_May22_211",1,118.42,39.91,TRUE
"127","DOC_CMPS_KFP_0361","Chloride",169.89,2022-12-16,"COMPASS_May22_211",1,169.89,101.79,TRUE
"128","DOC_CMPS_KFP_0362","Sodium",103.79,2022-12-16,"COMPASS_May22_212",1,103.79,39.91,TRUE
"129","DOC_CMPS_KFP_0362","Chloride",159.5,2022-12-16,"COMPASS_May22_212",1,159.5,101.79,TRUE
"130","DOC_CMPS_KFP_0363","Sodium",70.67,2022-12-16,"COMPASS_May22_214",1,70.67,39.91,TRUE
"131","DOC_CMPS_KFP_0363","Chloride",107.34,2022-12-16,"COMPASS_May22_214",1,107.34,101.79,TRUE
"132","DOC_CMPS_KFP_0033","Sulfate",126.61,2022-12-01,"COMPASS_Dec2021_027",1,126.61,99.46,TRUE
"133","DOC_CMPS_KFP_0034","Sulfate",218.12,2022-12-01,"COMPASS_Dec2021_028",1,218.12,99.46,TRUE
"134","DOC_CMPS_KFP_0035","Sulfate",147.86,2022-12-01,"COMPASS_Dec2021_029",1,147.86,99.46,TRUE
"135","DOC_CMPS_KFP_0036","Sulfate",208.15,2022-12-01,"COMPASS_Dec2021_030",1,208.15,99.46,TRUE
"136","DOC_CMPS_KFP_0067","Sulfate",195.63,2022-12-01,"COMPASS_Dec2021_052",1,195.63,99.46,TRUE
"137","DOC_CMPS_KFP_0068","Sulfate",120.99,2022-12-01,"COMPASS_Dec2021_053",1,120.99,99.46,TRUE
"138","DOC_CMPS_KFP_0069","Sulfate",211.45,2022-12-01,"COMPASS_Dec2021_054",1,211.45,99.46,TRUE
"139","DOC_CMPS_KFP_0070","Sulfate",164.12,2022-12-01,"COMPASS_Dec2021_055",1,164.12,99.46,TRUE
"140","DOC_CMPS_KFP_0071","Sulfate",110.29,2022-12-01,"COMPASS_Dec2021_056",1,110.29,99.46,TRUE
"141","DOC_CMPS_KFP_0073","Sulfate",156.09,2022-12-01,"COMPASS_Dec2021_058",1,156.09,99.46,TRUE
"142","DOC_CMPS_KFP_0074","Sulfate",244.42,2022-12-01,"COMPASS_Dec2021_059",1,244.42,99.46,TRUE
"143","DOC_CMPS_KFP_0075","Calcium",113.38,2022-12-01,"COMPASS_Dec2021_060",1,113.38,99.79,TRUE
"144","DOC_CMPS_KFP_0075","Sulfate",271.69,2022-12-01,"COMPASS_Dec2021_060",1,271.69,99.46,TRUE
"145","DOC_CMPS_KFP_0121","Sulfate",100.43,2022-12-01,"COMPASS_Dec2021_094",1,100.43,99.46,TRUE
"146","DOC_CMPS_KFP_0170","Bromide",1444.87,2022-12-01,"COMPASS_Dec2021_016",1,1444.87,98.31,TRUE
