[Header]	
System	TOC_TNb Standard	
S/W Version	1.00	
User		
Date/Time	7/15/2022 1:36:45 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Comments	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Mean Conc.	Result	Mean Result	Rem.	SD Area	CV Area	SD Conc	CV Conc	Vial	Excluded	Inj. Vol.	Auto. Dil.	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_17_12_49_01.cal		1.00			6/17/2022 1:12:12 PM	1	4	NPOC	0.5706	0.4561	0.000	 	 	 	*******	0.3593	78.78	0.000	0.00	3	0	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_17_12_49_01.cal		1.00			6/17/2022 1:15:56 PM	1	5	NPOC	0.05350	0.4561	0.000	 	 	 	*******	0.3593	78.78	0.000	0.00	3	0	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_17_12_49_01.cal		1.00			6/17/2022 1:27:18 PM	2	1	NPOC	13.57	0.1097	1.000	 	 	 	*******	0.04518	41.17	0.000	0.00	4	1	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_17_12_49_01.cal		1.00			6/17/2022 1:31:06 PM	2	2	NPOC	12.86	0.1097	1.000	 	 	 	*******	0.04518	41.17	0.000	0.00	4	1	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_17_12_49_01.cal		1.00			6/17/2022 1:33:58 PM	2	3	NPOC	0.08410	0.1097	1.000	 	 	 	*******	0.04518	41.17	0.000	0.00	4	0	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_17_12_49_01.cal		1.00			6/17/2022 1:37:42 PM	2	4	NPOC	0.08320	0.1097	1.000	 	 	 	*******	0.04518	41.17	0.000	0.00	4	0	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_17_12_49_01.cal		1.00			6/17/2022 1:41:26 PM	2	5	NPOC	0.1619	0.1097	1.000	 	 	 	*******	0.04518	41.17	0.000	0.00	4	0	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_17_12_49_01.cal		1.00			6/17/2022 1:53:39 PM	3	1	NPOC	51.48	49.38	5.000	 	 	 	*******	0.2775	0.56	0.000	0.00	5	1	150	2.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_17_12_49_01.cal		1.00			6/17/2022 1:57:47 PM	3	2	NPOC	51.59	49.38	5.000	 	 	 	*******	0.2775	0.56	0.000	0.00	5	1	150	2.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_17_12_49_01.cal		1.00			6/17/2022 2:01:43 PM	3	3	NPOC	49.63	49.38	5.000	 	 	 	*******	0.2775	0.56	0.000	0.00	5	0	150	2.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_17_12_49_01.cal		1.00			6/17/2022 2:05:26 PM	3	4	NPOC	49.42	49.38	5.000	 	 	 	*******	0.2775	0.56	0.000	0.00	5	0	150	2.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_17_12_49_01.cal		1.00			6/17/2022 2:09:21 PM	3	5	NPOC	49.08	49.38	5.000	 	 	 	*******	0.2775	0.56	0.000	0.00	5	0	150	2.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_17_12_49_01.cal		1.00			6/17/2022 2:19:55 PM	4	1	NPOC	0.03750	0.02500	10.00	 	 	 	*******	0.02165	86.60	0.000	0.00	6	0	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_17_12_49_01.cal		1.00			6/17/2022 2:23:39 PM	4	2	NPOC	0.03750	0.02500	10.00	 	 	 	*******	0.02165	86.60	0.000	0.00	6	0	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_17_12_49_01.cal		1.00			6/17/2022 2:27:23 PM	4	3	NPOC	0.000	0.02500	10.00	 	 	 	*******	0.02165	86.60	0.000	0.00	6	0	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_17_12_49_01.cal		1.00			6/17/2022 2:38:39 PM	5	1	NPOC	0.2068	0.1328	50.00	 	 	 	*******	0.07486	56.39	0.000	0.00	7	0	150	2.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_17_12_49_01.cal		1.00			6/17/2022 2:42:32 PM	5	2	NPOC	0.05710	0.1328	50.00	 	 	 	*******	0.07486	56.39	0.000	0.00	7	0	150	2.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_17_12_49_01.cal		1.00			6/17/2022 2:46:25 PM	5	3	NPOC	0.1344	0.1328	50.00	 	 	 	*******	0.07486	56.39	0.000	0.00	7	0	150	2.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_17_12_49_01.cal		1.00			6/17/2022 2:56:59 PM	6	1	NPOC	0.000	0.000	100.0	 	 	 	*******	0.000	0.00	0.000	0.00	8	0	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_17_12_49_01.cal		1.00			6/17/2022 3:00:43 PM	6	2	NPOC	0.000	0.000	100.0	 	 	 	*******	0.000	0.00	0.000	0.00	8	0	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_17_12_49_01.cal		1.00			6/17/2022 3:04:27 PM	6	3	NPOC	0.2282	0.000	100.0	 	 	 	*******	0.000	0.00	0.000	0.00	8	1	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_17_12_49_01.cal		1.00			6/17/2022 3:08:11 PM	6	4	NPOC	0.2320	0.000	100.0	 	 	 	*******	0.000	0.00	0.000	0.00	8	1	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_17_12_49_01.cal		1.00			6/17/2022 3:11:55 PM	6	5	NPOC	0.000	0.000	100.0	 	 	 	*******	0.000	0.00	0.000	0.00	8	0	150	1.000	
Unknown	NPOC	DIW	Untitled	C:\TOC-L\Methods\COMPASS_NPOC.met	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_17_12_49_01.cal	1.00			6/27/2022 4:24:24 PM	1	1	NPOC	6.524	0.06840	40.62	86.43	NPOC:86.43mg/L	NPOC:86.43mg/L	*******	0.1185	173.21	0.8406	0.97	5	1	150	1.000	
Unknown	NPOC	DIW	Untitled	C:\TOC-L\Methods\COMPASS_NPOC.met	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_17_12_49_01.cal	1.00			6/27/2022 4:28:29 PM	1	2	NPOC	8.371	0.06840	27.52	86.43	NPOC:86.43mg/L	NPOC:86.43mg/L	*******	0.1185	173.21	0.8406	0.97	5	1	150	1.000	
Unknown	NPOC	DIW	Untitled	C:\TOC-L\Methods\COMPASS_NPOC.met	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_17_12_49_01.cal	1.00			6/27/2022 4:31:11 PM	1	3	NPOC	0.000	0.06840	86.91	86.43	NPOC:86.43mg/L	NPOC:86.43mg/L	*******	0.1185	173.21	0.8406	0.97	5	0	150	1.000	
Unknown	NPOC	DIW	Untitled	C:\TOC-L\Methods\COMPASS_NPOC.met	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_17_12_49_01.cal	1.00			6/27/2022 4:34:55 PM	1	4	NPOC	0.000	0.06840	86.91	86.43	NPOC:86.43mg/L	NPOC:86.43mg/L	*******	0.1185	173.21	0.8406	0.97	5	0	150	1.000	
Unknown	NPOC	DIW	Untitled	C:\TOC-L\Methods\COMPASS_NPOC.met	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_17_12_49_01.cal	1.00			6/27/2022 4:38:40 PM	1	5	NPOC	0.2052	0.06840	85.46	86.43	NPOC:86.43mg/L	NPOC:86.43mg/L	*******	0.1185	173.21	0.8406	0.97	5	0	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_27_16_38_40.cal		1.00			6/27/2022 4:49:59 PM	1	1	NPOC	4.791	0.000	0.000	 	 	 	*******	0.000	0.00	0.000	0.00	4	1	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_27_16_38_40.cal		1.00			6/27/2022 4:53:42 PM	1	2	NPOC	5.037	0.000	0.000	 	 	 	*******	0.000	0.00	0.000	0.00	4	1	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_27_16_38_40.cal		1.00			6/27/2022 4:56:57 PM	1	3	NPOC	0.000	0.000	0.000	 	 	 	*******	0.000	0.00	0.000	0.00	4	0	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_27_16_38_40.cal		1.00			6/27/2022 5:00:41 PM	1	4	NPOC	0.000	0.000	0.000	 	 	 	*******	0.000	0.00	0.000	0.00	4	0	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_27_16_38_40.cal		1.00			6/27/2022 5:04:25 PM	1	5	NPOC	0.000	0.000	0.000	 	 	 	*******	0.000	0.00	0.000	0.00	4	0	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_27_16_38_40.cal		1.00			6/27/2022 5:17:56 PM	2	1	NPOC	18.20	0.09603	1.000	 	 	 	*******	0.07440	77.48	0.000	0.00	7	1	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_27_16_38_40.cal		1.00			6/27/2022 5:20:06 PM	2	2	NPOC	0.1309	0.09603	1.000	 	 	 	*******	0.07440	77.48	0.000	0.00	7	0	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_27_16_38_40.cal		1.00			6/27/2022 5:23:50 PM	2	3	NPOC	0.01060	0.09603	1.000	 	 	 	*******	0.07440	77.48	0.000	0.00	7	0	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_27_16_38_40.cal		1.00			6/27/2022 5:27:34 PM	2	4	NPOC	0.1466	0.09603	1.000	 	 	 	*******	0.07440	77.48	0.000	0.00	7	0	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_27_16_38_40.cal		1.00			6/27/2022 5:39:48 PM	3	1	NPOC	28.08	28.23	5.000	 	 	 	*******	0.1557	0.55	0.000	0.00	8	0	150	2.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_27_16_38_40.cal		1.00			6/27/2022 5:43:41 PM	3	2	NPOC	28.21	28.23	5.000	 	 	 	*******	0.1557	0.55	0.000	0.00	8	0	150	2.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_27_16_38_40.cal		1.00			6/27/2022 5:47:36 PM	3	3	NPOC	28.39	28.23	5.000	 	 	 	*******	0.1557	0.55	0.000	0.00	8	0	150	2.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_27_16_38_40.cal		1.00			6/27/2022 6:01:10 PM	4	1	NPOC	114.9	0.1146	10.00	 	 	 	T******	0.1732	151.17	0.000	0.00	9	1	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_27_16_38_40.cal		1.00			6/27/2022 6:04:48 PM	4	2	NPOC	102.4	0.1146	10.00	 	 	 	*******	0.1732	151.17	0.000	0.00	9	1	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_27_16_38_40.cal		1.00			6/27/2022 6:07:02 PM	4	3	NPOC	0.000	0.1146	10.00	 	 	 	*******	0.1732	151.17	0.000	0.00	9	0	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_27_16_38_40.cal		1.00			6/27/2022 6:10:46 PM	4	4	NPOC	0.02990	0.1146	10.00	 	 	 	*******	0.1732	151.17	0.000	0.00	9	0	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_27_16_38_40.cal		1.00			6/27/2022 6:14:30 PM	4	5	NPOC	0.3139	0.1146	10.00	 	 	 	*******	0.1732	151.17	0.000	0.00	9	0	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_27_16_38_40.cal		1.00			6/27/2022 6:27:19 PM	5	1	NPOC	288.7	287.0	50.00	 	 	 	*******	1.528	0.53	0.000	0.00	10	0	150	2.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_27_16_38_40.cal		1.00			6/27/2022 6:30:45 PM	5	2	NPOC	286.7	287.0	50.00	 	 	 	*******	1.528	0.53	0.000	0.00	10	0	150	2.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_27_16_38_40.cal		1.00			6/27/2022 6:34:46 PM	5	3	NPOC	285.7	287.0	50.00	 	 	 	*******	1.528	0.53	0.000	0.00	10	0	150	2.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_27_16_38_40.cal		1.00			6/27/2022 6:46:56 PM	6	1	NPOC	1128	0.7291	100.0	 	 	 	*******	1.113	152.63	0.000	0.00	11	1	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_27_16_38_40.cal		1.00			6/27/2022 6:50:53 PM	6	2	NPOC	1130	0.7291	100.0	 	 	 	*******	1.113	152.63	0.000	0.00	11	1	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_27_16_38_40.cal		1.00			6/27/2022 6:53:04 PM	6	3	NPOC	2.010	0.7291	100.0	 	 	 	*******	1.113	152.63	0.000	0.00	11	0	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_27_16_38_40.cal		1.00			6/27/2022 6:56:48 PM	6	4	NPOC	0.000	0.7291	100.0	 	 	 	*******	1.113	152.63	0.000	0.00	11	0	150	1.000	
Standard	NPOC	NPOC_COMPASS_0-100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_27_16_38_40.cal		1.00			6/27/2022 7:00:32 PM	6	5	NPOC	0.1773	0.7291	100.0	 	 	 	*******	1.113	152.63	0.000	0.00	11	0	150	1.000	
Unknown	NPOC	DIW	Untitled	C:\TOC-L\Methods\COMPASS_NPOC.met		1.00			6/27/2022 7:12:03 PM	1	1	NPOC	8.969	0.07017	0.000	0.000	NPOC:0.000mg/L	NPOC:0.000mg/L	*******	0.07020	100.05	0.000	0.00	6	1	150	1.000	
Unknown	NPOC	DIW	Untitled	C:\TOC-L\Methods\COMPASS_NPOC.met		1.00			6/27/2022 7:16:07 PM	1	2	NPOC	11.13	0.07017	0.000	0.000	NPOC:0.000mg/L	NPOC:0.000mg/L	*******	0.07020	100.05	0.000	0.00	6	1	150	1.000	
Unknown	NPOC	DIW	Untitled	C:\TOC-L\Methods\COMPASS_NPOC.met		1.00			6/27/2022 7:19:20 PM	1	3	NPOC	0.07010	0.07017	0.000	0.000	NPOC:0.000mg/L	NPOC:0.000mg/L	*******	0.07020	100.05	0.000	0.00	6	0	150	1.000	
Unknown	NPOC	DIW	Untitled	C:\TOC-L\Methods\COMPASS_NPOC.met		1.00			6/27/2022 7:23:20 PM	1	4	NPOC	0.1404	0.07017	0.000	0.000	NPOC:0.000mg/L	NPOC:0.000mg/L	*******	0.07020	100.05	0.000	0.00	6	0	150	1.000	
Unknown	NPOC	DIW	Untitled	C:\TOC-L\Methods\COMPASS_NPOC.met		1.00			6/27/2022 7:27:20 PM	1	5	NPOC	0.000	0.07017	0.000	0.000	NPOC:0.000mg/L	NPOC:0.000mg/L	*******	0.07020	100.05	0.000	0.00	6	0	150	1.000	
Unknown	NPOC	1ppm_NPOC_CKSTD	Untitled	C:\TOC-L\Methods\COMPASS_NPOC.met	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_27_16_38_40.cal	1.00			6/27/2022 7:40:58 PM	1	1	NPOC	17.96	1.207	-20.30	-43.42	NPOC:-43.42mg/L	NPOC:-43.42mg/L	T******	0.4839	40.10	0.6681	-1.54	15	1	150	1.000	
Unknown	NPOC	1ppm_NPOC_CKSTD	Untitled	C:\TOC-L\Methods\COMPASS_NPOC.met	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_27_16_38_40.cal	1.00			6/27/2022 7:43:08 PM	1	2	NPOC	1.555	1.207	-42.94	-43.42	NPOC:-43.42mg/L	NPOC:-43.42mg/L	*******	0.4839	40.10	0.6681	-1.54	15	0	150	1.000	
Unknown	NPOC	1ppm_NPOC_CKSTD	Untitled	C:\TOC-L\Methods\COMPASS_NPOC.met	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_27_16_38_40.cal	1.00			6/27/2022 7:46:54 PM	1	3	NPOC	0.6542	1.207	-44.19	-43.42	NPOC:-43.42mg/L	NPOC:-43.42mg/L	*******	0.4839	40.10	0.6681	-1.54	15	0	150	1.000	
Unknown	NPOC	1ppm_NPOC_CKSTD	Untitled	C:\TOC-L\Methods\COMPASS_NPOC.met	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_27_16_38_40.cal	1.00			6/27/2022 7:50:37 PM	1	4	NPOC	1.411	1.207	-43.14	-43.42	NPOC:-43.42mg/L	NPOC:-43.42mg/L	*******	0.4839	40.10	0.6681	-1.54	15	0	150	1.000	
Unknown	NPOC	1ppm_NPOC_CKSTD	Untitled	C:\TOC-L\Methods\COMPASS_NPOC.met	C:\TOC-L\CalCurves\NPOC_0-100mgL_20220615_COMPASS.2022_06_27_16_38_40.cal	1.00			6/27/2022 7:54:20 PM	1	5	NPOC	0.000	1.207	-45.09	-43.42	NPOC:-43.42mg/L	NPOC:-43.42mg/L	*******	0.4839	40.10	0.6681	-1.54	15	1	150	1.000	
